AHF,ARAPAHOE,ARAPAHOE,ARAPAHOE/NE/US:MUNICIPAL,AHF,Y,NE,US,NAMER,ITC1,US107,-99.9,40.3,NULL,N
AHH,AMERY,AMERY,AMERY/WI/US:MUNICIPAL,AHH,Y,WI,US,NAMER,ITC1,US107,-92.37,45.28,NULL,N
AHI,AMAHAI,AMAHAI,AMAHAI/ID,AHI,Y,NULL,ID,SEASI,ITC3,ID063,128.9,-3.333,99,N
AHL,AISHALTON,AISHALTON,AISHALTON/GY,AHL,Y,NULL,GY,SAMER,ITC1,GY,-59.32,2.483,100,N
AHN,ATHENS,ATHENS,ATHENS/GA/US,AHN,Y,GA,US,NAMER,ITC1,US105,-83.33,33.95,101,N
AHO,ALGHERO,ALGHERO,ALGHERO/IT:FERTILIA,AHO,Y,NULL,IT,EUROP,ITC2,IT067,8.283,40.63,102,N
AHS,AHUAS,AHUAS,AHUAS/HN,AHS,Y,NULL,HN,CAMER,ITC1,HN,-84.42,15.43,103,N
AHT,AMCHITKA,AMCHITKA,AMCHITKA/AK/US,AHT,Y,AK,US,NAMER,ITC1,US112,179,51.5,104,N
AHU,AL HOCEIMA,AL HOCEIMA,AL HOCEIMA/MA:CHARIF AL IDRISS,AHU,Y,NULL,MA,AFRIC,ITC2,MA,-3.833,35.18,NULL,N
AHY,AMBATOLAHY,AMBATOLAHY,AMBATOLAHY/MG,AHY,Y,NULL,MG,AFRIC,ITC2,MG,45.53,-20.02,106,N
AHZ,ALPE D HUEZ,ALPE D HUEZ,ALPE D HUEZ/FR,AHZ,Y,NULL,FR,EUROP,ITC2,FR052,6.083,45.08,107,N
AIA,ALLIANCE,ALLIANCE,ALLIANCE/NE/US,AIA,Y,NE,US,NAMER,ITC1,US108,-102.8,42.07,108,N
AIB,ANITA BAY,ANITA BAY,ANITA BAY/AK/US,AIB,Y,AK,US,NAMER,ITC1,US111,-132.4,56.23,NULL,N
AIC,AIROK,AIROK,AIROK/MH,AIC,Y,NULL,MH,PACIF,ITC3,MH075,171.2,7.1,NULL,N
AID,ANDERSON,ANDERSON,ANDERSON/IN/US:MUNICIPAL,AID,Y,IN,US,NAMER,ITC1,US106,-85.68,40.17,NULL,N
AIE,AIOME,AIOME,AIOME/PG,AIE,Y,NULL,PG,AUSTL,ITC3,PG,144.7,-5.133,109,N
AIF,ASSIS,ASSIS,ASSIS/SP/BR,AIF,Y,SP,BR,SAMER,ITC1,BR015,-50.42,-22.67,NULL,N
AIG,YALINGA,YALINGA,YALINGA/CF,AIG,Y,NULL,CF,AFRIC,ITC2,CF,23.25,6.517,NULL,N
AIH,AIAMBAK,AIAMBAK,AIAMBAK/PG,AIH,N,NULL,PG,AUSTL,ITC3,PG,141.3,-7.349,NULL,N
AII,ALISABIEH,ALISABIEH,ALISABIEH/DJ,AII,Y,NULL,DJ,AFRIC,ITC2,DJ,42.72,11.15,110,N
AIK,AIKEN,AIKEN,AIKEN/SC/US:MUNICIPAL,AIK,Y,SC,US,NAMER,ITC1,US105,-81.68,33.65,111,N
AIL,AILIGANDI,AILIGANDI,AILIGANDI/PA,AIL,Y,NULL,PA,CAMER,ITC1,PA,-78.02,9.233,NULL,N
AIM,AILUK ISLAND,AILUK ISLAND,AILUK ISLAND/MH,AIM,Y,NULL,MH,PACIF,ITC3,MH075,170,10.2,112,N
