#CODE_LIGNE^NOM^NATURE^LATITUDE (WGS84)^LONGITUDE (WGS84)
311000^Rang-du-Fliers-Verton^Desserte Fret-Desserte Voyageur^50.41598^1.64807
325000^Blangy-sur-Bresle^Desserte Voyageur-Infrastructure^49.93303^1.62484
207000^Sommepy^Non exploitée^49.248^4.55441
325000^Ponts-et-Marais^Non exploitée^50.04093^1.44217
317000^Rethondes^Desserte Fret-Infrastructure^49.41616^2.90994
161000^Mommenheim^Desserte Voyageur-Infrastructure^48.75582^7.64277
310000^Nielles-lès-Blequin^Non exploitée^50.67868^2.03262
145000^Roeschwoog^Desserte Fret-Desserte Voyageur-Infrastructure^48.83337^8.02953
241000^Ferrière-la-Grande^Desserte Fret^50.25439^4.00115
311000^Amiens^Desserte Fret-Desserte Voyageur-Infrastructure^49.89022^2.30929
310000^Carly^Non exploitée^50.64937^1.7032
302511^Dunkerque-Ferry (IE)^Non exploitée^51.01921^2.19102
